NO_OF_FRAMES	2295
NO_OF_CAMERAS	5
NO_OF_MARKERS	14
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-10-22, 16:31:46	1213795.98090435
DATA_INCLUDED	3D
MARKER_NAMES	0	dirY	dirX	RF	RH	RW	LF	LH	LW	RE	LE	RS	LS	NECK
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.337	-0.421	-0.051	-1.039	200.636	0.076	300.253	-0.358	0.084	117.123	63.582	955.892	0.000	0.000	0.000	35.761	215.943	906.477	211.794	65.992	263.815	0.000	0.000	0.000	0.000	0.000	0.000	-0.875	274.123	626.582	313.436	353.797	583.824	0.605	461.997	915.988	350.790	387.092	907.535	165.463	371.645	915.388
0.309	-0.417	-0.067	-1.025	200.633	0.085	300.255	-0.356	0.082	117.178	63.510	955.938	0.000	0.000	0.000	36.099	216.020	906.459	212.051	66.229	263.499	0.000	0.000	0.000	0.000	0.000	0.000	-0.659	274.202	626.605	313.238	353.600	583.675	0.669	462.072	915.945	350.793	386.880	907.522	165.445	371.609	915.353
0.333	-0.421	-0.056	-1.041	200.630	0.078	300.263	-0.355	0.082	117.286	63.469	955.970	0.000	0.000	0.000	36.254	215.987	906.435	212.331	66.398	263.179	0.000	0.000	0.000	0.000	0.000	0.000	-0.457	274.308	626.617	313.219	353.565	583.698	0.718	462.198	915.968	350.782	386.736	907.536	165.429	371.593	915.332
0.411	-0.424	-0.160	-1.022	200.673	-0.031	300.353	-0.338	0.015	117.361	63.465	955.976	0.000	0.000	0.000	36.045	215.619	905.917	212.519	66.515	262.988	0.000	0.000	0.000	0.000	0.000	0.000	-0.301	274.453	626.594	313.069	353.387	583.584	0.884	462.241	915.754	350.926	386.244	907.339	165.443	371.492	915.230
0.340	-0.412	0.012	-0.994	200.607	0.159	300.268	-0.374	0.137	117.484	63.337	955.858	0.000	0.000	0.000	36.819	215.933	906.449	212.558	66.596	262.777	0.000	0.000	0.000	0.000	0.000	0.000	-0.131	274.504	626.666	313.223	353.486	583.738	0.692	462.427	916.140	350.593	386.717	907.701	165.289	371.631	915.403
0.356	-0.411	0.021	-0.982	200.610	0.168	300.268	-0.386	0.124	117.524	63.185	955.711	0.000	0.000	0.000	36.950	215.830	906.416	212.589	66.591	262.679	0.000	0.000	0.000	0.000	0.000	0.000	0.052	274.646	626.659	313.234	353.410	583.762	0.719	462.529	916.162	350.563	386.641	907.711	165.254	371.640	915.396
0.342	-0.426	0.020	-0.988	200.606	0.187	300.268	-0.396	0.135	117.545	63.091	955.562	0.000	0.000	0.000	37.091	215.731	906.350	212.555	66.527	262.641	0.000	0.000	0.000	0.000	0.000	0.000	0.222	274.795	626.639	313.210	353.362	583.755	0.742	462.638	916.174	350.546	386.544	907.741	165.234	371.635	915.399
0.336	-0.420	0.038	-0.986	200.596	0.186	300.279	-0.375	0.158	117.555	62.835	955.382	0.000	0.000	0.000	37.198	215.580	906.220	212.435	66.396	262.694	0.000	0.000	0.000	0.000	0.000	0.000	0.351	274.962	626.594	313.166	353.334	583.750	0.765	462.754	916.199	350.514	386.492	907.747	165.217	371.643	915.389
0.340	-0.417	0.037	-0.987	200.594	0.191	300.246	-0.386	0.138	117.560	62.560	955.134	0.000	0.000	0.000	37.331	215.375	906.093	212.255	66.189	262.818	0.000	0.000	0.000	0.000	0.000	0.000	0.463	275.138	626.562	313.196	353.212	583.723	0.781	462.863	916.216	350.509	386.396	907.755	165.194	371.657	915.384
0.331	-0.424	0.034	-0.989	200.600	0.204	300.242	-0.377	0.156	117.554	62.238	954.793	0.000	0.000	0.000	37.441	215.169	905.870	212.034	65.895	263.024	0.000	0.000	0.000	0.000	0.000	0.000	0.592	275.321	626.510	313.144	353.171	583.696	0.802	462.972	916.234	350.514	386.309	907.737	165.173	371.661	915.370
0.347	-0.425	0.048	-0.976	200.594	0.200	300.243	-0.380	0.154	117.499	61.938	954.474	0.000	0.000	0.000	37.539	214.948	905.691	211.702	65.549	263.288	0.000	0.000	0.000	0.000	0.000	0.000	0.676	275.517	626.442	313.104	353.130	583.672	0.841	463.075	916.245	350.507	386.245	907.742	165.154	371.671	915.348
0.333	-0.426	0.044	-0.974	200.589	0.201	300.249	-0.392	0.151	117.433	61.527	954.120	0.000	0.000	0.000	37.667	214.665	905.496	211.343	65.179	263.611	0.000	0.000	0.000	0.000	0.000	0.000	0.765	275.732	626.331	313.047	353.082	583.635	0.859	463.182	916.243	350.504	386.197	907.738	165.143	371.670	915.331
