NO_OF_FRAMES	3910
NO_OF_CAMERAS	5
NO_OF_MARKERS	14
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2015-10-22, 16:13:26	1212696.48312156
DATA_INCLUDED	3D
MARKER_NAMES	0	dirY	dirX	RF	RH	RW	LF	LH	LW	RE	LE	RS	LS	NECK
0.239	-0.129	0.047	-1.034	200.943	0.102	300.166	-0.178	0.063	-85.566	114.600	699.592	-81.087	205.526	681.274	-82.360	279.039	666.033	228.586	55.952	710.244	242.387	144.820	686.868	282.037	210.445	660.769	0.000	0.000	0.000	0.000	0.000	0.000	-46.985	470.287	899.912	308.329	393.583	909.556	119.036	369.624	916.384
0.247	-0.128	0.059	-1.042	200.940	0.090	300.178	-0.183	0.072	-87.051	114.788	699.474	-82.435	205.725	681.202	-83.451	279.251	666.021	230.476	55.574	710.342	244.029	144.510	686.962	283.419	210.306	660.871	0.000	0.000	0.000	0.000	0.000	0.000	-47.010	470.229	899.905	308.324	393.634	909.584	119.035	369.589	916.383
0.229	-0.114	0.052	-1.043	200.943	0.097	300.181	-0.183	0.065	-88.560	114.970	699.343	-83.797	205.907	681.112	-84.557	279.476	666.007	232.322	55.310	710.424	245.683	144.205	687.055	284.796	210.194	660.998	0.000	0.000	0.000	0.000	0.000	0.000	-47.020	470.191	899.904	308.311	393.694	909.603	119.035	369.561	916.376
0.253	-0.131	0.036	-1.051	200.941	0.098	300.160	-0.177	0.064	-89.871	115.244	699.221	-85.002	206.171	681.094	-85.583	279.752	666.027	234.036	54.914	710.659	247.194	143.972	687.132	286.092	210.124	661.103	0.000	0.000	0.000	0.000	0.000	0.000	-46.959	470.149	899.820	308.323	393.677	909.560	119.042	369.492	916.362
0.225	-0.127	0.036	-1.036	200.939	0.098	300.183	-0.188	0.061	-91.422	115.449	699.094	-86.377	206.403	681.040	-86.722	279.977	666.022	235.883	54.581	710.764	248.862	143.684	687.240	287.480	210.051	661.221	0.000	0.000	0.000	0.000	0.000	0.000	-46.978	470.076	899.814	308.319	393.715	909.582	119.050	369.451	916.348
0.432	-0.055	-0.039	-0.890	200.963	0.019	300.347	-0.093	0.039	-92.758	115.743	698.697	-88.090	206.506	680.591	-87.978	280.153	665.763	237.913	54.004	711.235	250.728	143.182	687.191	289.104	209.718	661.188	0.000	0.000	0.000	0.000	0.000	0.000	-46.783	470.194	899.599	308.519	393.437	909.334	119.226	369.203	916.176
0.305	-0.089	0.047	-0.962	200.947	0.110	300.235	-0.163	0.068	-94.428	115.833	698.962	-89.018	206.852	681.106	-88.995	280.429	666.078	239.351	53.890	711.898	252.203	143.094	687.486	290.258	209.867	661.483	0.000	0.000	0.000	0.000	0.000	0.000	-47.022	470.005	899.863	308.284	393.822	909.669	118.980	369.384	916.380
0.305	-0.104	0.039	-0.953	200.957	0.104	300.263	-0.169	0.061	-95.994	116.090	698.886	-90.430	207.097	681.106	-90.180	280.676	666.122	241.116	53.588	712.028	253.881	142.805	687.612	291.652	209.806	661.608	0.000	0.000	0.000	0.000	0.000	0.000	-47.041	469.948	899.860	308.268	393.857	909.693	118.947	369.335	916.392
0.346	-0.113	0.032	-0.968	200.955	0.088	300.233	-0.155	0.045	-97.569	116.294	698.767	-91.763	207.406	681.127	-91.395	280.918	666.121	243.124	53.175	711.255	255.560	142.505	687.725	293.030	209.772	661.754	0.000	0.000	0.000	0.000	0.000	0.000	-47.076	469.887	899.873	308.214	393.935	909.740	118.916	369.292	916.387
0.317	-0.104	0.028	-0.956	200.960	0.102	300.248	-0.164	0.061	-99.099	116.495	698.675	-93.206	207.649	681.105	-92.644	281.155	666.086	244.616	52.917	712.193	257.231	142.267	687.819	294.435	209.751	661.878	0.000	0.000	0.000	0.000	0.000	0.000	-47.112	469.853	899.887	308.210	393.980	909.754	118.912	369.266	916.405
0.320	-0.107	0.042	-0.961	200.965	0.089	300.261	-0.167	0.065	-100.631	116.699	698.574	-94.522	207.942	681.159	-93.890	281.385	666.085	246.340	52.644	712.193	258.908	142.012	687.936	295.837	209.713	662.011	0.000	0.000	0.000	0.000	0.000	0.000	-47.124	469.801	899.902	308.204	394.007	909.780	118.890	369.225	916.404
0.328	-0.110	0.016	-0.973	200.961	0.083	300.258	-0.164	0.052	-102.180	116.901	698.448	-95.946	208.203	681.134	-95.267	281.609	666.141	248.110	52.310	712.248	260.588	141.735	688.037	297.260	209.674	662.164	0.000	0.000	0.000	0.000	0.000	0.000	-47.162	469.767	899.915	308.162	394.087	909.790	118.882	369.179	916.397
0.322	-0.113	0.015	-0.945	200.955	0.082	300.264	-0.167	0.050	-103.670	117.124	698.343	-97.274	208.517	681.146	-96.552	281.840	666.147	249.839	52.033	712.299	262.270	141.502	688.129	298.692	209.627	662.270	0.000	0.000	0.000	0.000	0.000	0.000	-47.180	469.714	899.926	308.156	394.110	909.810	118.870	369.138	916.403
0.346	-0.118	0.015	-0.953	200.958	0.068	300.274	-0.171	0.058	-105.116	117.349	698.246	-98.342	208.941	681.216	-97.756	282.145	666.148	251.649	51.705	712.319	263.961	141.272	688.219	300.109	209.622	662.404	0.000	0.000	0.000	0.000	0.000	0.000	-47.189	469.678	899.937	308.148	394.160	909.813	118.863	369.095	916.394
0.332	-0.118	0.010	-0.962	200.959	0.069	300.263	-0.168	0.048	-106.599	117.557	698.113	-97.967	209.959	681.410	-96.669	283.467	666.422	253.433	51.439	712.361	265.681	140.997	688.293	301.532	209.616	662.533	0.000	0.000	0.000	0.000	0.000	0.000	-47.212	469.658	899.950	308.143	394.212	909.821	118.850	369.069	916.400
0.337	-0.122	0.016	-0.962	200.961	0.070	300.280	-0.176	0.041	-108.093	117.778	697.987	-99.405	210.235	681.403	-97.987	283.721	666.418	255.293	51.130	712.363	267.369	140.804	688.370	302.969	209.585	662.650	0.000	0.000	0.000	0.000	0.000	0.000	-47.231	469.619	899.964	308.141	394.260	909.837	118.848	369.033	916.396
